code,location,registered,envelopes,valid,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
552356,Babice,370,256,254,13,0,0,10,0,18,25,1,5,2,1,0,17,0,5,79,0,0,9,0,0,2,0,66,1
500526,Bělkovice-Lašťany,1801,1079,1069,97,0,0,83,1,44,81,18,6,15,1,1,104,0,32,333,1,2,75,0,6,8,1,153,7
500623,Bílá Lhota,931,568,565,31,0,0,42,0,20,73,4,6,6,0,5,53,2,12,164,0,0,62,0,0,3,1,81,0
552062,Bílsko,172,119,119,8,0,1,11,0,7,3,1,1,0,1,0,12,0,1,27,0,0,25,0,0,1,0,20,0
500801,Blatec,497,320,319,21,0,0,28,0,19,26,7,1,3,0,0,25,0,7,110,0,1,26,0,1,0,0,43,1
500852,Bohuňovice,2030,1352,1340,135,4,2,59,6,49,98,24,15,28,8,1,139,0,43,445,3,4,103,2,7,5,3,152,5
500861,Bouzov,1261,778,771,53,3,1,65,2,18,100,14,6,4,0,1,78,0,27,213,0,1,85,0,8,2,2,88,0
552402,Bukovany,528,369,369,44,1,0,19,1,17,21,10,0,3,0,0,47,0,13,93,0,0,56,0,0,5,0,35,4
500879,Bystročice,620,384,384,63,0,0,40,0,15,31,3,0,1,2,0,32,0,7,130,1,0,19,0,2,1,4,32,1
547026,Bystrovany,804,555,553,71,0,0,33,2,25,25,4,1,11,3,0,62,0,30,164,2,1,52,0,2,1,1,62,1
552186,Červenka,1119,720,716,46,1,0,63,0,28,66,8,3,8,1,0,61,0,14,214,2,2,83,1,3,7,0,100,5
552445,Daskabát,486,323,320,18,1,0,16,0,11,26,5,5,10,0,0,32,0,3,139,1,0,25,0,1,1,0,26,0
501476,Dlouhá Loučka,1562,854,850,62,0,0,57,3,63,77,12,9,17,1,0,76,3,26,277,0,0,24,2,3,3,0,132,3
501646,Dolany,2107,1418,1408,160,1,1,84,1,87,75,18,4,20,1,3,169,1,55,426,2,1,135,0,15,2,1,141,5
568392,Doloplazy,1063,655,640,71,0,0,39,2,24,42,8,5,12,3,4,44,0,14,167,0,2,104,0,5,5,3,86,0
545279,Domašov nad Bystřicí,402,208,206,9,0,0,19,0,6,29,1,2,1,2,0,12,0,1,73,0,0,4,0,1,0,0,46,0
552313,Domašov u Šternberka,258,139,139,21,0,0,8,0,2,12,0,0,0,0,0,12,0,6,54,0,0,8,0,0,0,0,16,0
501751,Drahanovice,1403,838,832,39,1,1,62,3,47,85,9,4,11,2,2,60,0,19,256,0,0,73,0,4,4,1,144,5
501794,Dub nad Moravou,1277,779,774,37,4,0,71,1,27,61,6,4,13,1,2,89,2,14,242,0,1,95,0,4,0,4,93,3
552071,Dubčany,189,108,108,3,0,0,16,0,10,9,0,1,0,0,0,6,0,1,21,0,0,33,0,1,0,0,7,0
501841,Grygov,1181,790,788,65,0,0,68,4,30,74,15,4,25,3,3,76,0,12,250,0,2,48,0,8,6,2,89,4
552178,Haňovice,377,262,261,19,0,2,26,0,2,19,0,0,4,0,0,11,0,7,75,0,3,45,0,3,1,1,42,1
552330,Hlásnice,159,91,91,7,0,0,4,0,1,5,1,0,4,0,0,8,0,9,25,0,0,15,0,0,0,0,12,0
502146,Hlubočky,3544,1929,1920,139,1,1,171,0,39,231,26,22,33,2,2,166,0,32,671,0,7,104,1,13,3,4,244,8
552020,Hlušovice,638,440,439,62,1,2,43,0,19,14,10,3,4,0,0,38,1,26,137,0,1,26,0,6,1,0,44,1
502235,Hněvotín,1350,869,862,109,2,2,68,1,36,55,9,3,7,0,1,77,1,36,271,1,1,49,0,6,2,0,123,2
502405,Hnojice,488,303,303,25,1,0,14,0,7,18,7,4,6,1,1,12,2,12,98,2,1,36,0,2,1,1,49,3
502545,Horka nad Moravou,1919,1277,1271,129,1,3,62,2,91,100,9,8,11,3,2,106,0,51,414,0,1,71,2,3,7,4,189,2
569798,Horní Loděnice,267,123,123,6,0,0,6,0,7,26,2,0,3,2,1,9,0,3,32,0,1,11,0,0,0,0,13,1
546976,Hraničné Petrovice,117,73,73,9,0,0,2,0,5,16,0,3,2,0,0,4,0,2,18,0,0,6,0,1,0,1,3,1
597414,Huzová,479,222,221,9,0,1,16,0,8,28,0,1,2,0,0,20,0,5,60,0,0,10,0,1,1,0,58,1
568872,Charváty,675,428,425,21,3,1,19,0,12,28,1,2,7,2,1,30,0,13,138,2,4,85,0,0,1,0,54,1
502839,Cholina,580,371,366,19,0,1,23,0,11,43,2,5,6,0,0,26,1,14,104,1,1,60,0,0,1,2,43,3
503142,Jívová,476,278,275,16,0,0,11,0,9,40,3,4,3,1,0,31,0,3,108,0,1,10,0,2,5,1,26,1
547123,Komárov,161,112,112,16,0,0,5,0,2,14,0,0,1,0,1,7,0,2,33,0,2,10,0,1,0,0,18,0
500135,Kozlov,216,102,102,1,1,0,19,0,3,13,1,1,1,0,1,12,1,2,31,0,2,1,0,0,0,0,12,0
503304,Kožušany-Tážaly,682,457,453,38,0,0,38,0,21,34,11,4,2,1,1,36,1,10,153,0,1,66,0,1,0,3,31,1
552437,Krčmaň,375,252,247,16,0,0,17,2,5,32,1,5,0,1,0,22,0,7,78,0,1,26,0,1,1,2,29,1
554901,Křelov-Břuchotín,1373,903,897,99,2,0,62,1,32,55,9,8,14,2,0,87,0,59,281,0,1,61,0,5,3,0,114,2
569003,Liboš,506,317,316,22,0,0,20,0,16,17,1,3,2,1,0,37,0,12,111,0,1,23,0,0,0,1,48,1
552305,Lipina,144,80,80,13,0,0,3,0,2,7,1,1,1,0,0,8,0,0,22,0,0,7,0,0,0,0,15,0
540005,Lipinka,159,90,90,2,0,0,3,0,13,9,0,0,1,0,0,6,0,5,33,0,0,7,0,0,0,0,11,0
503444,Litovel,8037,4663,4629,359,7,0,401,4,215,451,53,23,45,4,3,415,3,106,1471,2,4,385,2,22,32,6,594,22
552232,Loučany,542,362,359,31,1,0,43,0,17,25,1,0,8,0,1,32,1,10,99,1,1,42,0,4,0,2,39,1
552038,Loučka,190,105,105,8,0,0,9,0,7,7,5,5,0,0,0,14,0,2,15,0,0,11,0,1,1,0,20,0
552216,Luběnice,385,243,240,22,0,0,27,0,12,8,4,0,3,0,1,42,1,2,61,0,2,17,1,2,1,0,34,0
503622,Luká,681,422,421,37,1,0,46,0,13,60,1,5,19,0,0,32,0,6,110,1,0,46,0,3,1,1,36,3
503657,Lutín,2565,1472,1464,84,2,0,122,1,59,146,28,15,11,4,3,129,0,23,507,0,2,76,0,1,4,3,236,8
569844,Lužice,311,182,180,13,0,2,5,0,19,13,3,2,2,0,0,22,0,6,50,0,0,6,0,0,0,1,36,0
503738,Majetín,941,596,593,53,0,0,28,1,42,53,2,0,10,1,0,81,0,9,196,0,0,46,0,4,1,1,61,4
552372,Medlov,1271,696,690,41,6,0,50,2,18,85,7,2,12,3,1,49,0,20,239,0,1,71,0,1,3,3,75,1
568911,Měrotín,216,131,130,1,0,0,12,0,8,14,1,0,2,1,0,8,0,2,27,0,0,47,0,0,0,0,7,0
500160,Město Libavá,537,258,254,4,2,0,16,1,5,42,1,2,4,2,0,11,0,3,90,0,0,17,0,1,1,0,51,1
504246,Mladeč,628,313,311,32,0,0,18,0,11,42,0,2,1,1,0,26,0,4,98,0,0,34,0,2,6,2,32,0
552348,Mladějovice,557,327,327,30,1,0,15,1,13,38,3,3,2,0,0,33,0,2,114,0,1,12,0,0,0,1,57,1
597678,Moravský Beroun,2448,1208,1202,76,1,0,80,1,21,204,7,8,6,3,3,77,0,16,475,3,1,32,0,4,1,1,179,3
554944,Mrsklesy,557,345,342,24,1,1,28,0,11,30,3,3,8,2,0,27,0,16,120,0,0,21,0,1,1,0,41,4
547093,Mutkov,41,22,21,0,0,0,3,1,0,1,2,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,4,0
504441,Náklo,1177,746,743,29,0,1,62,2,120,76,4,6,7,0,0,52,0,11,220,0,2,62,0,4,1,0,84,0
504505,Náměšť na Hané,1651,1014,1006,93,0,5,78,1,59,79,6,9,9,0,1,96,0,34,317,0,4,85,0,8,4,3,111,4
597686,Norberčany,232,120,120,5,1,0,14,0,2,23,2,0,0,0,0,6,0,1,49,0,2,2,0,0,0,0,13,0
552381,Nová Hradečná,647,389,386,32,0,0,17,0,93,28,0,1,4,0,0,25,0,12,109,0,1,23,0,0,3,0,37,1
552259,Olbramice,183,112,108,6,0,1,3,0,0,20,0,1,1,1,1,6,0,3,35,0,1,12,0,0,0,0,17,0
500496,Olomouc,80719,48850,48525,5718,62,34,3740,35,1791,2949,976,251,832,68,99,5425,21,2894,13676,41,41,3663,11,416,158,73,5333,218
504785,Paseka,1077,598,594,48,0,2,40,0,28,51,7,9,12,2,0,44,0,19,195,0,2,51,1,1,1,4,75,2
552160,Pňovice,752,470,468,34,1,0,23,0,26,47,4,6,13,6,0,33,1,14,137,0,0,40,0,2,0,0,81,0
552411,Přáslavice,1174,648,640,57,2,1,44,1,23,64,4,3,2,0,1,49,0,20,230,1,1,68,0,2,3,3,60,1
505013,Příkazy,1040,657,652,60,2,0,60,1,35,61,7,8,8,0,0,51,0,16,215,2,0,35,0,2,3,4,82,0
554103,Řídeč,165,113,113,5,0,0,4,0,2,12,3,1,0,0,0,12,0,2,46,0,0,2,0,1,0,0,21,2
547077,Samotišky,1032,751,739,96,1,2,25,0,43,45,11,5,9,0,2,88,0,46,203,1,0,77,0,8,3,1,69,4
505081,Senice na Hané,1504,942,939,69,2,0,91,0,89,118,9,3,9,0,0,63,0,21,234,1,1,102,0,3,6,6,107,5
552267,Senička,285,209,205,24,0,0,17,0,4,24,0,0,1,0,1,17,0,3,55,0,0,26,0,0,0,0,32,1
552151,Skrbeň,932,573,569,47,0,1,37,2,32,51,9,5,3,0,0,55,1,32,143,0,4,49,0,1,2,0,93,2
505111,Slatinice,1382,894,841,57,1,2,71,0,28,79,19,5,14,3,1,43,1,28,294,1,0,70,0,3,3,1,110,7
552194,Slavětín,158,87,87,4,0,0,6,0,2,7,0,2,0,0,1,10,0,1,25,0,1,17,0,0,3,0,8,0
569054,Strukov,127,72,71,5,0,0,5,0,0,8,1,1,0,4,0,7,1,0,11,0,0,18,0,1,0,0,9,0
547018,Střeň,480,313,313,23,0,0,43,0,12,39,4,3,3,0,0,27,0,3,77,0,1,34,0,1,0,0,43,0
569771,Suchonice,145,99,99,5,0,0,6,0,5,15,1,1,0,0,0,4,0,7,21,0,0,20,0,2,1,0,11,0
